Number,Description,Short description,Close notes,Full description,group_id,root_cause
INC1645519,"Hi Team,  updated the FSSAI details on and was eligible for % PV uplift promo. But his PC  placed the order  yesterday in which the uplift promo was not added. Kindly check and provide an update on the same.",Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
","Hi Team,  updated the FSSAI details on and was eligible for % PV uplift promo. But his PC  placed the order  yesterday in which the uplift promo was not added. Kindly check and provide an update on the same.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1642928,Still % pv uplift is not activated for ADSP after fssai details updated in system.,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",Still % pv uplift is not activated for ADSP after fssai details updated in system.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1699995,Team- ADS ordered for TN Reward for  Nutrilite Jacket - but order payment was failed ..now Jacket is not picking by system ..pls support,Order : Order Promotion : Promotion Issue.,"Offer was active for the user but got stuck in a failed order. however we have reactivated the offer for the user. Kindly ask the user to try now and let us know in case of any concerns.
",Team- ADS ordered for TN Reward for  Nutrilite Jacket - but order payment was failed ..now Jacket is not picking by system ..pls support-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1655291,"Dear Team,  The ADSP is eligible for the phase  reward. Please check & activate the T-shirt offer.Please refer this : .",Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked as per the stock availability .Kindly verify and let us know in case of any concerns.
","Dear Team,  The ADSP is eligible for the phase  reward. Please check & activate the T-shirt offer.Please refer this : .-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1647555,After Successfully Updation Of FSSAI details on Amway website but % PV Upliftment offer is not Pick on ADSP number screenshot attached below.,Order : Order Promotion : Promotion Issue.,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
",After Successfully Updation Of FSSAI details on Amway website but % PV Upliftment offer is not Pick on ADSP number screenshot attached below.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1684647,"Hi Team, has complained that he is eligible for Mini filter with a discount of Rs.  against the mini purchased in order. But no discount is activated on his PC number. Kindly check below screenshot and update on this asap.",Order : Order Promotion : Promotion Inquiry.,Coupon settings have been fixed for the user  . Kindly verify and let us know in case of any concerns.,"Hi Team, has complained that he is eligible for Mini filter with a discount of Rs.  against the mini purchased in order. But no discount is activated on his PC number. Kindly check below screenshot and update on this asap.-Order : Order Promotion : Promotion Inquiry.",11,Order Management Issues
INC1655067,"SO for the order placed on , how % uplift  in points will reflect. Sl # PC # Name Nutilite points Order # order datePlease refer this : .",Order : Order Promotion : Promotion Issue.,"as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production.","SO for the order placed on , how % uplift  in points will reflect. Sl # PC # Name Nutilite points Order # order datePlease refer this : .-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1648623,"Dear Team, The below ADSP has updated the FSSAI details and uploaded the respective document on  The FSSAI uplift promo is getting applied on the normal orders but not getting picked in NLCP orders. Kindly check and rectify the same. Below is the screenshot for your reference.",Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
","Dear Team, The below ADSP has updated the FSSAI details and uploaded the respective document on  The FSSAI uplift promo is getting applied on the normal orders but not getting picked in NLCP orders. Kindly check and rectify the same. Below is the screenshot for your reference.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1645500,"The ADSP updated FSSAI Acknowledgement number on around , and purchased from PC on 4th vide order no- PC no-  Points are not uplifted. Request you to look into the issue.",Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
","The ADSP updated FSSAI Acknowledgement number on around , and purchased from PC on 4th vide order no- PC no-  Points are not uplifted. Request you to look into the issue.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1651336,S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region   ADS added his FSSAI details on // ..but he converted into PC on // .he converted PC to ADS on // now system is not picking % uplift (FSSAI OFFER)  OPEN North / Jaipur,Order : Order Promotion : Promotion Issue.,"Hi

The given user  is already added to promo, kindly check.

Regards",S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region   ADS added his FSSAI details on // ..but he converted into PC on // .he converted PC to ADS on // now system is not picking % uplift (FSSAI OFFER)  OPEN North / Jaipur-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1700465,"Hi Team, As per receive HO mail ADS is eligible TN jacket but jacket is not picking in POS & Website home delivery order.Proof of their name being in the list shared with the IT team: ADA NO Jacket Size NAME CITY",Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked as per the stock availability .Kindly verify and let us know in case of any concerns.
","Hi Team, As per receive HO mail ADS is eligible TN jacket but jacket is not picking in POS & Website home delivery order.Proof of their name being in the list shared with the IT team: ADA NO Jacket Size NAME CITY-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1653489,"ADS applied FSSAI registration on& also upload the same in Amway website. But when he place the order, % PV uplift has not capture. Please do the needful, so that ADS can avail the promotion",Order : Order Promotion : Promotion Issue.,"as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production.","ADS applied FSSAI registration on& also upload the same in Amway website. But when he place the order, % PV uplift has not capture. Please do the needful, so that ADS can avail the promotion-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1702504,"Hi Team, As per receive HO mail ADS is eligible TN jacket but jacket is not picking in POS & Website home delivery order.",Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked as per the stock availability .Kindly verify and let us know in case of any concerns.
","Hi Team, As per receive HO mail ADS is eligible TN jacket but jacket is not picking in POS & Website home delivery order.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1692111,ADS is eligible for TN rewards Phase  (JACKET) but system is not picking the reward.,Order : Order Promotion : Promotion Issue.,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
",ADS is eligible for TN rewards Phase  (JACKET) but system is not picking the reward.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1697269,"had completed her Team Nutriltilite from, but while placing the home delivery order system not picking his reward of Jacket. Pls. check & do the needful.",Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked as per the stock availability .Kindly verify and let us know in case of any concerns.
","had completed her Team Nutriltilite from, but while placing the home delivery order system not picking his reward of Jacket. Pls. check & do the needful.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1647843,After updation of fssai details still % pv uplift is not activated.,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",After updation of fssai details still % pv uplift is not activated.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1648833,"Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated  but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.",Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
","Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated  but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.-Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).",11,Order Management Issues
INC1645635,Dear Team ADSP update his FSSAI detail but system is not picking FSSAI Registration Points Promo @ % offer on their number. Please check the same & rectify this issue asap.,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",Dear Team ADSP update his FSSAI detail but system is not picking FSSAI Registration Points Promo @ % offer on their number. Please check the same & rectify this issue asap.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1702506,"Hi Team, As per receive HO mail ADS is eligible TN jacket but jacket is not picking in POS & Website home delivery order.",Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked as per the stock availability .Kindly verify and let us know in case of any concerns.
","Hi Team, As per receive HO mail ADS is eligible TN jacket but jacket is not picking in POS & Website home delivery order.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1647832,"Dear Team,ADSP#  - A,  & M,  l has filed a complaint concerning the % PV uplift promotion not being reflected in the customer order account while placing the order, both on the website and in the physical store. I have attached a screenshot for updated fssai details in system your review. kindly check and do the needful. Customer number :  Furthermore, the system does not reflect the % uplift PV for the order mentioned below. Kindly review and update the PV. Customer Group Order details :",Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
","Dear Team,ADSP#  - A,  & M,  l has filed a complaint concerning the % PV uplift promotion not being reflected in the customer order account while placing the order, both on the website and in the physical store. I have attached a screenshot for updated fssai details in system your review. kindly check and do the needful. Customer number :  Furthermore, the system does not reflect the % uplift PV for the order mentioned below. Kindly review and update the PV. Customer Group Order details :-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1648841,"HI Team, PC has already placed the order  and wants the uplift points in that order only. He is not going to place another order, as he don't have any further requirement. So pls check and update the eligible uplift PV asap. Please refer this : .",Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
","HI Team, PC has already placed the order  and wants the uplift points in that order only. He is not going to place another order, as he don't have any further requirement. So pls check and update the eligible uplift PV asap. Please refer this : .-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1647621,Abo Has Updated Fssai Certificate But His  % Pv No Uplift.,Order : Order Promotion : Promotion Issue.,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
",Abo Has Updated Fssai Certificate But His  % Pv No Uplift.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1652304,ADSP is Eligible for % pv uplift has not picked  for the Pc order placed  order details mentioned below...,Order : Order Promotion : Promotion Issue.,"as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production",ADSP is Eligible for % pv uplift has not picked  for the Pc order placed  order details mentioned below...-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1649761,is Elgible for % PV uplift mnet  Buts is not picked FSSAI uploaded on  PC Order details mentioned ..,Order : Order Promotion : Promotion Inquiry.,"User is eligible for the offer and will be picked for food products .Kindly verify and let us know in case of any concerns.
",is Elgible for % PV uplift mnet  Buts is not picked FSSAI uploaded on  PC Order details mentioned ..-Order : Order Promotion : Promotion Inquiry.,11,Order Management Issues
INC1644389,Sub:- % PV uplift not activite. ADSP has been FSSAI documents uploaded in Amway portal.It has not been activited % PV uplift.We have observed that uplift PV not appearing in ordering screen.,Order : Order Promotion : Promotion Issue.,"
Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.",Sub:- % PV uplift not activite. ADSP has been FSSAI documents uploaded in Amway portal.It has not been activited % PV uplift.We have observed that uplift PV not appearing in ordering screen.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1651335,S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region ADS added his FSSAI details on but he converted into PC on he converted PC to ADS on now system is not picking  uplift (FSSAI OFFER),Order : Order Promotion : Promotion Issue.,"User was elgible for the offer ,However as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production
",S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region ADS added his FSSAI details on but he converted into PC on he converted PC to ADS on now system is not picking  uplift (FSSAI OFFER)-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1653495,"Dear Team,  The ADSP is eligible for T-shirt but the same is not getting picked in their order. As checked with Planning team, the stock of the t-shirts are available in their respective pin code but the same is not getting picked while placing the order. Below is the stock position as of now & sku is reflecting in POS.",Order : Order Promotion : Promotion Issue.,User is not present as a qualifier for the offer .Kindly co-ordinate with business regarding the same.,"Dear Team,  The ADSP is eligible for T-shirt but the same is not getting picked in their order. As checked with Planning team, the stock of the t-shirts are available in their respective pin code but the same is not getting picked while placing the order. Below is the stock position as of now & sku is reflecting in POS.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1653081,In the refe#   Still not showing  FSSAI Registration Points Promo @ % for #Order#- please activate FSSAI Registration Points Promo @ % for all eligible orders afteras still not showing for all orders.,Order : Order Promotion : Promotion Issue.,"as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production",In the refe#   Still not showing  FSSAI Registration Points Promo @ % for #Order#- please activate FSSAI Registration Points Promo @ % for all eligible orders afteras still not showing for all orders.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1644646,% pv uplift promo is not activated for ADSP after fssai details updated in system.,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",% pv uplift promo is not activated for ADSP after fssai details updated in system.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1693972,"ADSP stated that he has selected ""M"" size it is showing ""XL"" in Amway website kindly check and help us with the same.In  we have received the calling sheet of some ADS who did not fill the google form. At that time, we took the size from this ADS.",Order : Order Promotion : Promotion Issue.,"Hi Team

As per the data received from marketing user has size XL allocated to him. Kindly co-ordinate with marketing regarding the size issue.","ADSP stated that he has selected ""M"" size it is showing ""XL"" in Amway website kindly check and help us with the same.In  we have received the calling sheet of some ADS who did not fill the google form. At that time, we took the size from this ADS.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1644396,"Hi Team,Getting a complaint from ADSP has updated the FSSAI details on -Oct- . ADSP   % Points uplift Offer is not reflecting during his food product order. He is eligible for % uplift pv. Please check and resolve this. Acknowledgement receipt attached",Order : Order Promotion : Promotion Issue.,"
Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.","Hi Team,Getting a complaint from ADSP has updated the FSSAI details on -Oct- . ADSP   % Points uplift Offer is not reflecting during his food product order. He is eligible for % uplift pv. Please check and resolve this. Acknowledgement receipt attached-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1650372,ADSP uploaded FSSAI Receipt on ... . and one of his PC purchased Nutrilite items on ...  But % uplift not yet updated Sl # PC # Name Nutilite points Order # order date,Order : Order Promotion : Promotion Inquiry.,"Hi

The given user has been added to the promo, kindly check

Regards",ADSP uploaded FSSAI Receipt on ... . and one of his PC purchased Nutrilite items on ...  But % uplift not yet updated Sl # PC # Name Nutilite points Order # order date-Order : Order Promotion : Promotion Inquiry.,11,Order Management Issues
INC1699990,"ADSP placed an order to get the Nutrilite Jacket, the Nutrilite Jacket was included with the order, but payment failed,Now the new order was not picking the offer, kindly rectify and activate the offer.",Order : Order Promotion : Promotion Issue.,"User has availed the offer in order .Kindly verify and let us know in case of any concerns.
","ADSP placed an order to get the Nutrilite Jacket, the Nutrilite Jacket was included with the order, but payment failed,Now the new order was not picking the offer, kindly rectify and activate the offer.-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1647844,Order Detail Header,Order : Order Promotion : Promotion Issue.,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
",Order Detail Header-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1648830,"Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.",Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
","Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.-Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).",11,Order Management Issues
INC1652301,"ADSP is Eligible for PV uplift  its not picked , for PC order placed  order details mentioned below..",Order : Order Promotion : Promotion Issue.,"User was eligible for the offer ,However as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production","ADSP is Eligible for PV uplift  its not picked , for PC order placed  order details mentioned below..-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1647994,ADSP uploaded FSSAI Receipt on . and one of his PC purchased Nutrilite items on  But % uplift not yet updated Sl # PC # Name Nutilite points Order # order date,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",ADSP uploaded FSSAI Receipt on . and one of his PC purchased Nutrilite items on  But % uplift not yet updated Sl # PC # Name Nutilite points Order # order date-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1694933,"ADSP stated that he has selected ""XXL"" size, but it is showing ""S"" in Amway website, kindly check and help us with the same.In  we have received the calling sheet of some ADS who did not fill the google form. At that time, we took the size from this ADS",Order : Order Promotion : Promotion Issue.,"Hi Team

As per the data received from marketing user has size S allocated to him. Kindly co-ordinate with marketing regarding the size issue.","ADSP stated that he has selected ""XXL"" size, but it is showing ""S"" in Amway website, kindly check and help us with the same.In  we have received the calling sheet of some ADS who did not fill the google form. At that time, we took the size from this ADS-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1697504,of Team Nutrilite reward offer of Jacket. Order is cancelled due to payment failure. Now he wants to place the order but now JACKET not picked in order. Pls. activate the offer of TN Reward for,Order : Order Promotion : Promotion Issue.,"Offer was active for the user but got stuck in a failed order. however we have reactivated the offer for the user. Kindly ask the user to try now and let us know in case of any concerns.
",of Team Nutrilite reward offer of Jacket. Order is cancelled due to payment failure. Now he wants to place the order but now JACKET not picked in order. Pls. activate the offer of TN Reward for-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1645647,Hi Team ADSP  has uploaded FSSAI acknowledgement on  but still FSSAI registration uplift promo @ % not yet activated in his no.. Request you to please check and update.,Order : Order Promotion : Promotion Issue.,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
",Hi Team ADSP  has uploaded FSSAI acknowledgement on  but still FSSAI registration uplift promo @ % not yet activated in his no.. Request you to please check and update.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1648832,"Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated  :: PM but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.",Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
","Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated  :: PM but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.-Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).",11,Order Management Issues
INC1670388,"The below cases are covered under second PV uplift (i.e.%) programPoints uplift on FOOD products are not picking in their order, kindly check and rectify",Order : Order Promotion : Promotion Issue.,"Hi

Please be informed that the given PC is added to 10% PV uplift promo , kindly check

Regards","The below cases are covered under second PV uplift (i.e.%) programPoints uplift on FOOD products are not picking in their order, kindly check and rectify-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1697455,ADSP claiming that again the promo got struck in NLCP order... which is auto populate. Kindly support in activating the jacket promo again,Order : Order Promotion : Promotion Issue.,"Offer was active for the user but got stuck in a failed order. however we have reactivated the offer for the user. Kindly ask the user to try now and let us know in case of any concerns.
",ADSP claiming that again the promo got struck in NLCP order... which is auto populate. Kindly support in activating the jacket promo again-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1704889,Team- ADS ordered for TN Reward for   Nutrilite Jacket - but order payment was failed ..now Jacket is not picking by system ..pls support - pls reactivate the offer for the user,Order : Order Promotion : Promotion Issue.,"Offer was active for the user but got stuck in a failed order. however we have reactivated the offer for the user. Kindly ask the user to try now and let us know in case of any concerns.
",Team- ADS ordered for TN Reward for   Nutrilite Jacket - but order payment was failed ..now Jacket is not picking by system ..pls support - pls reactivate the offer for the user-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1651341,S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region   ADS added his FSSAI details on // ..but he converted into PC on // .he converted PC to ADS on // now system is not picking % uplift (FSSAI OFFER)  OPEN North / Jaipur,Order : Order Promotion : Promotion Issue.,"User was eligible for the offer ,However as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production
",S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region   ADS added his FSSAI details on // ..but he converted into PC on // .he converted PC to ADS on // now system is not picking % uplift (FSSAI OFFER)  OPEN North / Jaipur-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1656637,"Dear Team, User is eligible for FSSAI Registration Points Promo @ % as ADSP updated his FSSAI details on dated   This Order was processed on PC NO #  on dated",Order : Order Promotion : Promotion Issue.,"Hi Team

Please be informed that the reported concern of Order # has been already reported to Business and the further necessary actions will be taken from their end.

Regards","Dear Team, User is eligible for FSSAI Registration Points Promo @ % as ADSP updated his FSSAI details on dated   This Order was processed on PC NO #  on dated-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1650610,Please activate FSSAI Registration Points Promo @ % for all eligible orders after .. as still not showing for all orders.Please refer this : .,Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked for food products .Kindly verify and let us know in case of any concerns.
",Please activate FSSAI Registration Points Promo @ % for all eligible orders after .. as still not showing for all orders.Please refer this : .-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1652290,ADSP updated FSSAI documents on  but still not getting points upliftment. Please check.,Order : Order Promotion : Promotion Issue.,"as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production",ADSP updated FSSAI documents on  but still not getting points upliftment. Please check.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1647993,ADSP uploaded FSSAI Receipt on  . and one of his PC purchased Nutrilite items on But  uplift not yet updated Sl # PC # Name Nutilite points Order # order date,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",ADSP uploaded FSSAI Receipt on  . and one of his PC purchased Nutrilite items on But  uplift not yet updated Sl # PC # Name Nutilite points Order # order date-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1656681,"So for the order placed on .., how % uplift will reflect.  Sl # PC # NaPlease refer this : .",Order : Order Promotion : Promotion Inquiry.,Kindly co-ordinate with business team regarding the PV adjustment for the order. ,"So for the order placed on .., how % uplift will reflect.  Sl # PC # NaPlease refer this : .-Order : Order Promotion : Promotion Inquiry.",11,Order Management Issues
INC1642946,Still % pv uplift is not activated for ADSP after fssai details updated in system.,Order : Order Promotion : Promotion Issue.,"Offer is activated for the user . Kindly ask the user to try again and let us know in case of any concerns.
",Still % pv uplift is not activated for ADSP after fssai details updated in system.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1658206,"Dear Team,  The % points uplift has not been given on the below orders. The below order details are there in the list shared for the - FSSAI points to be uplifted file.Ordernumber OrderDate volumeabo sponser ProductCode Price OrderPrice Ordertax QualificationDate Quantity ProductPV Actual PV PV given UpliftedPV Adjustment Eligibility  :   319687ID .  .  :  . . . . .   :   319687ID .  .  :  . . . . .   :   319687ID .  .  :  . . . . . FSSAI Document uploaded on -- at ::",Order : Order Promotion : Promotion Issue.,"Hi Team

Please be informed that the reported concern of Order No 
has been already reported to Business and the further necessary actions will be taken from their end.

Regards","Dear Team,  The % points uplift has not been given on the below orders. The below order details are there in the list shared for the - FSSAI points to be uplifted file.Ordernumber OrderDate volumeabo sponser ProductCode Price OrderPrice Ordertax QualificationDate Quantity ProductPV Actual PV PV given UpliftedPV Adjustment Eligibility  :   319687ID .  .  :  . . . . .   :   319687ID .  .  :  . . . . .   :   319687ID .  .  :  . . . . . FSSAI Document uploaded on -- at ::-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1697517,Promotion Issue: Kindly check the Nutilite Jacket offer not picking on this pincode. Screenshot is being attached.,Order : Order Promotion : Promotion Issue.,"User is eligible for the offer and will be picked as per the stock availability .Kindly verify and let us know in case of any concerns.
",Promotion Issue: Kindly check the Nutilite Jacket offer not picking on this pincode. Screenshot is being attached.-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1655243,"Dear Team,  The % points uplift has not been given on the below orders. FSSAI Document uploaded on -- at ::",Order : Order Promotion : Promotion Issue.,"as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production.","Dear Team,  The % points uplift has not been given on the below orders. FSSAI Document uploaded on -- at ::-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1695221,"Hi Team,We are aware of all those conditions but the question is why the items were displayed in the cart before payment?When we click the payment, whatever is shown in the cart should be delivered, otherwise its like cheating a customer that used to show some items to pay but after payment items disappeared. The items could be available for all places but I added the item after mentioning the location so it should be visible only what stock is available for my location.. These are free items but what is the guarantee that your website will not do the same for other items which I paid for? You should improve your website to make that clear information. I never expected this from Amway and I will inform all these to my link members not to trust anything in the website. Please refer this : .",Order : Order Promotion : Promotion Issue.,"Hi team

This could have happened as we usually have a limited stock for the items , however as per system if an item is out of stock it wont appear in cart, here it seems product was available however by the time user did checkout it went out of stock. Similarly if user purchases a normal product and it runs out of stock cart value gets updated while making the payment .","Hi Team,We are aware of all those conditions but the question is why the items were displayed in the cart before payment?When we click the payment, whatever is shown in the cart should be delivered, otherwise its like cheating a customer that used to show some items to pay but after payment items disappeared. The items could be available for all places but I added the item after mentioning the location so it should be visible only what stock is available for my location.. These are free items but what is the guarantee that your website will not do the same for other items which I paid for? You should improve your website to make that clear information. I never expected this from Amway and I will inform all these to my link members not to trust anything in the website. Please refer this : .-Order : Order Promotion : Promotion Issue.",11,Order Management Issues
INC1651337,S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region ADS added his FSSAI details on ..but he converted into PC on .he converted PC to ADS on now system is not picking % uplift (FSSAI OFFER)  OPEN,Order : Order Promotion : Promotion Issue.,"User was elgible for the offer ,However as of now this promotion has been deactivated in production environment as per shared requirement. So, user would be able to retry and avail this offer if the promotion is re-activated in Production
",S.No Incident number/Ticket # Date of Incident Reported Issue ADA/PC number (For reference) Ticket Status Region ADS added his FSSAI details on ..but he converted into PC on .he converted PC to ADS on now system is not picking % uplift (FSSAI OFFER)  OPEN-Order : Order Promotion : Promotion Issue.,11,Order Management Issues
INC1648818,"Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated  :: PM but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.",Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).,"User is not present in any of the list provided to us. kindly co-ordinate with business regarding the same.
","Dear Team, Below mentioned ADS Partner is eligible for FSSAI Registration uplifts % Points Promo, ADSP updated his FSSAI details on dated  :: PM but system not showing uplifts points at the time of ordering. Please check the same & do activate the same asap.-Order : Order Promotion : Promotion Issue ( FSSAI Uplift Points Not Showing ).",11,Order Management Issues
